categoryId,parentId
1,0
2,1
59,20
77,22
94,35
121,24
128,346
156,536
187,17
192,32
197,57
207,45
224,120
232,81
241,123
253,174
269,180
274,181
280,279
346,25
360,82
630,55
942,941
944,942
948,122
1042,135
1046,134
1051,137
1181,177
1237,1235
1367,1266
1444,83
1605,83
1669,5740
1680,1604
1798,1780
1799,1791
1834,1792
1854,1779
1878,1643
1916,1909
1928,1910
1936,1911
2016,1914
2019,1254
2020,1255
2021,1256
2022,1257
2029,187
2030,64
2033,77
2052,2040
2134,2118
2146,175
2159,2157
2289,2288
2300,2295
2339,2298
2340,2301
2341,2302
2399,2303
2450,2426
2452,2304
2475,1913
2480,1915
2488,1912
2503,1259
2504,1260
2522,97
2554,1479
2564,2563
2565,2564
2571,2570
2705,2704
2746,2745
2810,2809
2828,2827
2835,2834
2840,2839
2842,2793
2872,2795
2874,2794
2880,2796
2883,2797
2887,2798
2889,2799
2891,2800
2894,2801
2903,2806
2908,2825
2911,2844
2913,2845
2915,2846
2916,2847
2919,2852
2923,2853
2926,2925
2928,2855
2949,2791
2951,2820
2952,2856
2959,2804
2991,2823
2994,2824
3022,2862
3024,2940
3072,3486
3079,2813
3097,3079
3119,3118
3129,3128
3135,3134
3142,3141
3148,3147
3160,3155
3168,3167
3177,3176
3191,3185
3198,3197
3222,3126
3224,3140
3227,3173
3244,3183
3251,3187
3372,3371
3414,3413
3423,3422
3480,3146
3497,3260
3505,3116
3515,3124
3526,3524
3529,3152
3530,3180
3562,3561
3649,3648
3725,3722
3738,346
3763,3184
3767,3261
3794,3754
3795,3753
3807,3755
3854,3658
3855,3750
3863,3818
3875,3820
3956,3182
4072,2810
4074,3455
4075,3497
4093,4092
4097,4090
4101,4098
4103,4102
4107,4084
4109,4108
4117,4116
4118,4087
4122,4121
4131,4089
4189,4038
4199,4196
4204,4203
4232,4199
4258,4255
4265,4264
4269,4268
4270,4269
4286,2864
4305,4118
4314,4272
4344,2790
4375,4374
4389,4388
4392,4391
4394,4379
4401,4384
4409,4393
4426,4425
4427,4344
4440,4439
4442,4441
4444,4443
4445,4107
4447,4372
4449,4448
4451,4450
4453,4452
4466,4465
4468,4467
4473,4472
4500,4499
4513,3505
4521,4520
4534,4533
4540,2832
4557,3115
4561,4560
4564,4563
4575,4574
4584,4583
4629,4373
4633,3767
4639,4431
4667,4666
4669,4668
4684,4683
4686,4685
4691,4690
4704,4703
4714,4713
4732,4303
4764,4250
4805,4740
4807,4806
4823,4237
4837,2677
4846,19
4871,4870
5035,8629
5037,173
5054,4837
5122,5121
5147,5146
5154,5153
5157,5156
5158,5155
5169,5168
5202,1743
5211,1669
5216,5211
5230,5227
5252,5251
5255,5254
5257,5256
5271,5270
5273,5272
5312,5311
5319,5317
5324,5323
5336,5335
5346,5345
5356,5354
5385,5382
5389,5387
5392,5390
5403,5402
5405,5404
5421,5419
5423,5422
5428,5427
5437,5436
5444,5442
5449,5294
5452,1795
5468,5467
5486,1794
5490,5429
5516,5361
5544,121
5546,2949
5547,2951
5548,4286
5550,3530
5551,3763
5552,3758
5612,5611
5637,5636
5659,2066
5666,3254
5707,358
5733,5732
5766,5637
5767,5738
5833,1493
5834,1525
5835,1580
5836,1511
5837,1538
5838,1572
5878,5877
5889,2946
5890,2945
5891,4288
5892,3344
5893,3382
5894,2947
5896,3904
5897,3925
